feature;shap_value;Hugo_Symbol;title;status;description;description_clean;topic
LRP1B_SNP;0.0734724291244449;LRP1B;"LOW DENSITY LIPOPROTEIN RECEPTOR-RELATED PROTEIN 1B; LRP1B";live;LRP1B belongs to the low density lipoprotein (LDL) receptor gene family. These receptors play a wide variety of roles in normal cell function and development due to their interactions with multiple ligands (Liu et al., 2001).;lrp b belongs low density lipoprotein ldl receptor gene family receptors play wide variety roles normal cell function development due interactions multiple ligands liu;1
TERT_SNP;0.0354125512697513;TERT;"TELOMERASE REVERSE TRANSCRIPTASE; TERT";live;Human telomeres consist of many kilobases of (TTAGGG)n together with various associated proteins. Small amounts of these terminal sequences are lost from the tips of the chromosomes each S phase because of incomplete DNA replication, but de novo addition of TTAGGG repeats by the enzyme telomerase compensates for this loss. Many human cells progressively lose terminal sequence with cell division, a loss that correlates with the apparent absence of telomerase in these cells (Kipling, 1995).;human telomeres consist many kilobases ttaggg n together various associated proteins small amounts terminal sequences lost tips chromosomes phase incomplete dna replication de novo addition ttaggg repeats enzyme telomerase compensates loss many human cells progressively lose terminal sequence cell division loss correlates apparent absence telomerase cells kipling;2
SPTA1_SNP;0.0232065356362224;SPTA1;"SPECTRIN, ALPHA, ERYTHROCYTIC 1; SPTA1";live;"Spectrin, the predominant component of the membrane skeleton of the red cell, is essential in determining the properties of the membrane including its shape and deformability. It consists of 2 nonidentical subunits, alpha (MW 240,000) and beta (MW 225,000; <a href=""http://omim.org/entry/182870"">182870</a>) (Knowles et al., 1984). Spectrin is present in the red cell membrane in a tetrameric or oligomeric form through head-to-head self-association of heterodimers that are linked by actin (see <a href=""http://omim.org/entry/102560"">102560</a>) polymers and protein 4.1 (<a href=""http://omim.org/entry/130500"">130500</a>) to form a 2-dimensional network. Ankyrin (<a href=""http://omim.org/entry/612641"">612641</a>) binds the skeleton to the membrane lipid bilayer through its high-affinity association with spectrin beta chains and the integral protein band 3 (<a href=""http://omim.org/entry/109270"">109270</a>) of the lipid bilayer.";spectrin predominant component membrane skeleton red cell essential determining properties membrane including shape deformability consists nonidentical subunits alpha mw beta mw entry knowles spectrin present red cell membrane tetrameric oligomeric form head head self association heterodimers linked actin see entry polymers protein entry form dimensional network ankyrin entry binds skeleton membrane lipid bilayer high affinity association spectrin beta chains integral protein band entry lipid bilayer;9
KMT2B_SNP;0.0184995383905572;KMT2B;"LYSINE-SPECIFIC METHYLTRANSFERASE 2B; KMT2B";live;"Methylation of histone H3 (see <a href=""http://omim.org/entry/602810"">602810</a>) lys4 (H3K4) is an important epigenetic modification involved in gene activation. H3K4 di- and trimethylation (H3K4me2 and H3K4me3, respectively) residues mark the transcription start sites of actively transcribed genes, whereas a high level of H3K4 monomethylation (H3K4me1) is associated with enhancer sequences. Members of the SET/MLL protein family, including KMT2B, are responsible for the generation of H3K4me1, H3K4me2, and H3K4me3 marks to induce gene activation and are essential for normal development (summary by Shao et al., 2014).";methylation histone h see entry lys h k important epigenetic modification involved gene activation h k di trimethylation h k h k respectively residues mark transcription start sites actively transcribed genes whereas high level h k monomethylation h k associated enhancer sequences members set mll protein family including kmt b responsible generation h k h k h k marks induce gene activation essential normal development summary shao;7
KMT2C_SNP;0.0178972990349998;KMT2C;"LYSINE-SPECIFIC METHYLTRANSFERASE 2C; KMT2C";live;The KMT2C gene encodes a histone methyltransferase that regulates gene transcription by modifying chromatin structure. KMT2C mediates mono- and tri-methylation of histone H3 at lysine 4 (H3K4me1 and H3K4me3) (summary by Koemans et al., 2017).;kmt c gene encodes histone methyltransferase regulates gene transcription modifying chromatin structure kmt c mediates mono tri methylation histone h lysine h k h k summary koemans;7
TP53_SNP;0.0178600378533667;TP53;"TUMOR PROTEIN p53; TP53";live;"The transcription factor p53 responds to diverse cellular stresses to regulate target genes that induce cell cycle arrest, apoptosis, senescence, DNA repair, or changes in metabolism. In addition, p53 appears to induce apoptosis through nontranscriptional cytoplasmic processes. In unstressed cells, p53 is kept inactive essentially through the actions of the ubiquitin ligase MDM2 (<a href=""http://omim.org/entry/164785"">164785</a>), which inhibits p53 transcriptional activity and ubiquitinates p53 to promote its degradation. Numerous posttranslational modifications modulate p53 activity, most notably phosphorylation and acetylation. Several less abundant p53 isoforms also modulate p53 activity. Activity of p53 is ubiquitously lost in human cancer either by mutation of the p53 gene itself or by loss of cell signaling upstream or downstream of p53 (Toledo and Wahl, 2006; Bourdon, 2007; Vousden and Lane, 2007).";transcription factor p responds diverse cellular stresses regulate target genes induce cell cycle arrest apoptosis senescence dna repair changes metabolism addition p appears induce apoptosis nontranscriptional cytoplasmic processes unstressed cells p kept inactive essentially actions ubiquitin ligase mdm entry inhibits p transcriptional activity ubiquitinates p promote degradation numerous posttranslational modifications modulate p activity notably phosphorylation acetylation several less abundant p isoforms also modulate p activity activity p ubiquitously lost human cancer either mutation p gene loss cell signaling upstream downstream p toledo wahl bourdon vousden lane;3
SLIT2_SNP;0.0142535062098489;SLIT2;"SLIT GUIDANCE LIGAND 2; SLIT2";live;"In Drosophila embryogenesis, the 'slit' gene has been shown to play a critical role in central nervous system midline formation. Itoh et al. (1998) cloned the SLIT2 gene, a human homolog of the Drosophila 'slit' gene. They also cloned 2 additional human 'slit' homologs, which they termed SLIT1 (<a href=""http://omim.org/entry/603742"">603742</a>) and SLIT3 (<a href=""http://omim.org/entry/603745"">603745</a>), as well as the rat homolog, Slit1. Each SLIT gene encodes a putative secreted protein, which contains conserved protein-protein interaction domains including leucine-rich repeats and epidermal growth factor-like (see <a href=""http://omim.org/entry/131530"">131530</a>) motifs, similar to those of the Drosophila protein. The SLIT2 cDNA encodes a 1,529-amino acid polypeptide with 44.3% similarity to the Drosophila 'slit' protein. Northern blot analysis revealed that the human SLIT2 gene was expressed as an approximately 8.5-kb transcript primarily in the spinal cord. SLIT1 and SLIT3 mRNAs were primarily expressed in the brain and thyroid, respectively. In situ hybridization studies indicated that the rat Slit1 mRNA was specifically expressed in the neurons of fetal and adult forebrains. These data suggested that the SLIT genes form an evolutionarily conserved group in vertebrates and invertebrates, and that the mammalian SLIT proteins may participate in the formation and maintenance of the nervous and endocrine systems by protein-protein interactions.";drosophila embryogenesis slit gene shown play critical role central nervous system midline formation itoh cloned slit gene human homolog drosophila slit gene also cloned additional human slit homologs termed slit entry slit entry well rat homolog slit slit gene encodes putative secreted protein contains conserved protein protein interaction domains including leucine rich repeats epidermal growth factor like see entry motifs similar drosophila protein slit cdna encodes amino acid polypeptide similarity drosophila slit protein northern blot analysis revealed human slit gene expressed approximately kb transcript primarily spinal cord slit slit mrnas primarily expressed brain thyroid respectively situ hybridization studies indicated rat slit mrna specifically expressed neurons fetal adult forebrains data suggested slit genes form evolutionarily conserved group vertebrates invertebrates mammalian slit proteins may participate formation maintenance nervous endocrine systems protein protein interactions;0
FAT1_SNP;0.0132984963526018;FAT1;"FAT ATYPICAL CADHERIN 1; FAT1";live;The FAT1 gene encodes a member of a small family of vertebrate cadherin-like genes whose gene products play a role in cell migration, lamellipodia dynamics, cell polarity, and cell-cell adhesions (summary by Gee et al., 2016).;fat gene encodes member small family vertebrate cadherin like genes whose gene products play role cell migration lamellipodia dynamics cell polarity cell cell adhesions summary gee;-1
SPEN_SNP;0.0121347706779351;SPEN;"SPEN FAMILY TRANSCRIPTIONAL REPRESSOR; SPEN";live;The SPEN gene encodes a protein that is thought to be involved in chromatin remodeling (summary by Radio et al., 2021). SPEN appears to function as a nuclear matrix platform that organizes and integrates transcriptional responses (Sierra et al., 2004).;spen gene encodes protein thought involved chromatin remodeling summary radio spen appears function nuclear matrix platform organizes integrates transcriptional responses sierra;6
NF1_DEL;0.0114984300103981;NF1;"NEUROFIBROMIN 1; NF1";live;"The NF1 gene encodes neurofibromin, a cytoplasmic protein that is predominantly expressed in neurons, Schwann cells, oligodendrocytes, and leukocytes. It is a multidomain molecule with the capacity to regulate several intracellular processes, including the RAS (see <a href=""http://omim.org/entry/190020"">190020</a>)-cyclic AMP pathway, the ERK (<a href=""http://omim.org/entry/600997"">600997</a>)/MAP (see <a href=""http://omim.org/entry/600178"">600178</a>) kinase cascade, adenylyl cyclase, and cytoskeletal assembly (summary by Trovo-Marqui and Tajara, 2006).";nf gene encodes neurofibromin cytoplasmic protein predominantly expressed neurons schwann cells oligodendrocytes leukocytes multidomain molecule capacity regulate several intracellular processes including ras see entry cyclic amp pathway erk entry map see entry kinase cascade adenylyl cyclase cytoskeletal assembly summary trovo marqui tajara;4
