feature;shap_value;Hugo_Symbol;title;status;description;description_clean;topic
KRAS_SNP;0.4297924025660184;KRAS;"KRAS PROTOONCOGENE, GTPase; KRAS";live;"The KRAS gene encodes the human cellular homolog of a transforming gene isolated from the Kirsten rat sarcoma virus. The RAS proteins are GDP/GTP-binding proteins that act as intracellular signal transducers. The most well-studied members of the RAS (derived from 'RAt Sarcoma' virus) gene family include KRAS, HRAS (<a href=""http://omim.org/entry/190020"">190020</a>), and NRAS (<a href=""http://omim.org/entry/164790"">164790</a>). These genes encode immunologically related proteins with a molecular mass of 21 kD and are homologs of rodent sarcoma virus genes that have transforming abilities. While these wildtype cellular proteins in humans play a vital role in normal tissue signaling, including proliferation, differentiation, and senescence, mutated genes are potent oncogenes that play a role in many human cancers (Weinberg, 1982; Kranenburg, 2005).";kras gene encodes human cellular homolog transforming gene isolated kirsten rat sarcoma virus ras proteins gdp gtp binding proteins act intracellular signal transducers well studied members ras derived rat sarcoma virus gene family include kras hras entry nras entry genes encode immunologically related proteins molecular mass kd homologs rodent sarcoma virus genes transforming abilities wildtype cellular proteins humans play vital role normal tissue signaling including proliferation differentiation senescence mutated genes potent oncogenes play role many human cancers weinberg kranenburg;20
TP53_SNP;0.3465045360904251;TP53;"TUMOR PROTEIN p53; TP53";live;"The transcription factor p53 responds to diverse cellular stresses to regulate target genes that induce cell cycle arrest, apoptosis, senescence, DNA repair, or changes in metabolism. In addition, p53 appears to induce apoptosis through nontranscriptional cytoplasmic processes. In unstressed cells, p53 is kept inactive essentially through the actions of the ubiquitin ligase MDM2 (<a href=""http://omim.org/entry/164785"">164785</a>), which inhibits p53 transcriptional activity and ubiquitinates p53 to promote its degradation. Numerous posttranslational modifications modulate p53 activity, most notably phosphorylation and acetylation. Several less abundant p53 isoforms also modulate p53 activity. Activity of p53 is ubiquitously lost in human cancer either by mutation of the p53 gene itself or by loss of cell signaling upstream or downstream of p53 (Toledo and Wahl, 2006; Bourdon, 2007; Vousden and Lane, 2007).";transcription factor p responds diverse cellular stresses regulate target genes induce cell cycle arrest apoptosis senescence dna repair changes metabolism addition p appears induce apoptosis nontranscriptional cytoplasmic processes unstressed cells p kept inactive essentially actions ubiquitin ligase mdm entry inhibits p transcriptional activity ubiquitinates p promote degradation numerous posttranslational modifications modulate p activity notably phosphorylation acetylation several less abundant p isoforms also modulate p activity activity p ubiquitously lost human cancer either mutation p gene loss cell signaling upstream downstream p toledo wahl bourdon vousden lane;-1
PIK3CA_SNP;0.1450291499212375;PIK3CA;"PHOSPHATIDYLINOSITOL 3-KINASE, CATALYTIC, ALPHA; PIK3CA";live;"Bovine phosphatidylinositol 3-kinase ({EC 2.7.1.137}) is composed of 85-kD (<a href=""http://omim.org/entry/171833"">171833</a>) and 110-kD subunits. The 85-kD subunit lacks PI3-kinase activity and acts as an adaptor, coupling the 110-kD subunit (p110) to activated protein tyrosine kinases. Hiles et al. (1992) found that the bovine cDNA for p110 predicts a 1,068-amino acid protein related to a protein which in S. cerevisiae is involved in the sorting of proteins to the vacuole.

Volinia et al. (1994) cloned the cDNA for the human p110 subunit (PIK3CA) and found that it encodes a protein 99% identical to the bovine p110 enzyme.

See also PIK3CG (<a href=""http://omim.org/entry/601232"">601232</a>) and PIK3CD (<a href=""http://omim.org/entry/602839"">602839</a>), the genes encoding the p110-gamma and p110-delta polypeptides, respectively.";bovine phosphatidylinositol kinase ec composed kd entry kd subunits kd subunit lacks pi kinase activity acts adaptor coupling kd subunit p activated protein tyrosine kinases hiles found bovine cdna p predicts amino acid protein related protein cerevisiae involved sorting proteins vacuole volinia cloned cdna human p subunit pik ca found encodes protein identical bovine p enzyme see also pik cg entry pik cd entry genes encoding p gamma p delta polypeptides respectively;9
NRAS_SNP;0.1276027824265199;NRAS;"NRAS PROTOONCOGENE, GTPase; NRAS";live;Marshall et al. (1982) identified a gene with transforming activity in 2 different human sarcoma cell lines, a fibrosarcoma (HT1080) and an embryonal rhabdomyosarcoma (RD). Hall et al. (1983) identified this gene as a member of the RAS gene family and designated it N-RAS 'after consultation with Wigler and with Weinberg.' They found that NRAS was also activated in a promyelocytic leukemia cell line (HL60) and a neuroblastoma cell line (SK-H-SH). NRAS was present at the same levels in normal fibroblasts and tumor cells. Hall and Brown (1985) identified 2 main NRAS transcripts of 4.3 kb and 2 kb.;marshall identified gene transforming activity different human sarcoma cell lines fibrosarcoma ht embryonal rhabdomyosarcoma rd hall identified gene member ras gene family designated n ras consultation wigler weinberg found nras also activated promyelocytic leukemia cell line hl neuroblastoma cell line sk h sh nras present levels normal fibroblasts tumor cells hall brown identified main nras transcripts kb kb;20
BRAF_SNP;0.1230321085699813;BRAF;"B-RAF PROTOONCOGENE, SERINE/THREONINE KINASE; BRAF";live;"Using an oligomer unique to the BRAF kinase domain, Sithanandam et al. (1990) cloned full-length BRAF from a testis cDNA library. The deduced 651-amino acid protein has a calculated molecular mass of 72.5 kD. It contains all 3 conserved regions of RAF protein kinases: a putative zinc finger region, a serine/threonine-rich region, and a C-terminal kinase domain, which includes a putative ATP-binding site and a catalytic lysine. In addition, the N terminus of BRAF is serine-rich, and it has a consensus CDC2 (CDK1; <a href=""http://omim.org/entry/116940"">116940</a>) phosphorylation motif. Northern blot analysis detected transcripts of 10 and 13 kb in cerebrum, fetal brain, and placenta and transcripts of 2.6 and 4.5 kb in testis. Testis also showed lower expression of the 10- and 13-kb transcripts.

Eychene et al. (1992) stated that the BRAF gene is the human homolog of the avian c-Rmil protooncogene encoding a 94-kD serine/threonine kinase detected in avian cells. This protein contains amino-terminal sequences not found in other proteins of the mil/raf gene family. These sequences are encoded by 3 exons in the avian genome. Eychene et al. (1992) reported that these 3 exons are conserved in the human BRAF gene and that they encode an amino acid sequence similar to that of the avian gene.";using oligomer unique braf kinase domain sithanandam cloned full length braf testis cdna library deduced amino acid protein calculated molecular mass kd contains conserved regions raf protein kinases putative zinc finger region serine threonine rich region c terminal kinase domain includes putative atp binding site catalytic lysine addition n terminus braf serine rich consensus cdc cdk entry phosphorylation motif northern blot analysis detected transcripts kb cerebrum fetal brain placenta transcripts kb testis testis also showed lower expression kb transcripts eychene stated braf gene human homolog avian c rmil protooncogene encoding kd serine threonine kinase detected avian cells protein contains amino terminal sequences found proteins mil raf gene family sequences encoded exons avian genome eychene reported exons conserved human braf gene encode amino acid sequence similar avian gene;0
IDH1_SNP;0.0934548497151269;IDH1;"ISOCITRATE DEHYDROGENASE 1; IDH1";live;IDH1 is a dimeric cytosolic NADP-dependent isocitrate dehydrogenase ({EC 1.1.1.42}) that catalyzes decarboxylation of isocitrate into alpha-ketoglutarate (Nekrutenko et al., 1998).;idh dimeric cytosolic nadp dependent isocitrate dehydrogenase ec catalyzes decarboxylation isocitrate alpha ketoglutarate nekrutenko;14
VHL_SNP;0.0702351833927747;VHL;"VON HIPPEL-LINDAU TUMOR SUPPRESSOR; VHL";live;"The protein products of the VHL gene play a role in the oxygen-sensing pathway, in microtubule stability and orientation, tumor suppression, cilia formation, regulation of senescence, cytokine signaling, collagen IV (see <a href=""http://omim.org/entry/120130"">120130</a>) regulation, and assembly of a normal extracellular fibronectin matrix (summary by Nordstrom-O'Brien et al., 2010).";protein products vhl gene play role oxygen sensing pathway microtubule stability orientation tumor suppression cilia formation regulation senescence cytokine signaling collagen iv see entry regulation assembly normal extracellular fibronectin matrix summary nordstrom brien;2
EGFR_SNP;0.0682254856350349;EGFR;"EPIDERMAL GROWTH FACTOR RECEPTOR; EGFR";live;EGFR and its ligands are cell signaling molecules involved in diverse cellular functions, including cell proliferation, differentiation, motility, and survival, and in tissue development (Wang et al., 2004).;egfr ligands cell signaling molecules involved diverse cellular functions including cell proliferation differentiation motility survival tissue development wang;-1
APC_DEL;0.059055209836172;APC;"APC REGULATOR OF WNT SIGNALING PATHWAY; APC";live;"The APC gene encodes a multidomain protein that plays a major role in tumor suppression by antagonizing the WNT (see WNT1; <a href=""http://omim.org/entry/164820"">164820</a>) signaling pathway. Inappropriate activation of this pathway through loss of APC function contributes to cancer progression, as in familial adenomatous polyposis (FAP; <a href=""http://omim.org/entry/175100"">175100</a>). APC also has a role in cell migration, adhesion, chromosome segregation, spindle assembly, apoptosis, and neuronal differentiation (Hanson and Miller, 2005).

The APC protein is an integral part of the beta-catenin (CTNNB1; <a href=""http://omim.org/entry/116806"">116806</a>) signaling pathway.";apc gene encodes multidomain protein plays major role tumor suppression antagonizing wnt see wnt entry signaling pathway inappropriate activation pathway loss apc function contributes cancer progression familial adenomatous polyposis fap entry apc also role cell migration adhesion chromosome segregation spindle assembly apoptosis neuronal differentiation hanson miller apc protein integral part beta catenin ctnnb entry signaling pathway;2
CTNNB1_SNP;0.0461013569161035;CTNNB1;"CATENIN, BETA-1; CTNNB1";live;"Beta-catenin is an adherens junction protein. Adherens junctions (AJs; also called the zonula adherens) are critical for the establishment and maintenance of epithelial layers, such as those lining organ surfaces. AJs mediate adhesion between cells, communicate a signal that neighboring cells are present, and anchor the actin cytoskeleton. In serving these roles, AJs regulate normal cell growth and behavior. At several stages of embryogenesis, wound healing, and tumor cell metastasis, cells form and leave epithelia. This process, which involves the disruption and reestablishment of epithelial cell-cell contacts, may be regulated by the disassembly and assembly of AJs. AJs may also function in the transmission of the 'contact inhibition' signal, which instructs cells to stop dividing once an epithelial sheet is complete (summary by Peifer, 1993).";beta catenin adherens junction protein adherens junctions ajs also called zonula adherens critical establishment maintenance epithelial layers lining organ surfaces ajs mediate adhesion cells communicate signal neighboring cells present anchor actin cytoskeleton serving roles ajs regulate normal cell growth behavior several stages embryogenesis wound healing tumor cell metastasis cells form leave epithelia process involves disruption reestablishment epithelial cell cell contacts may regulated disassembly assembly ajs ajs may also function transmission contact inhibition signal instructs cells stop dividing epithelial sheet complete summary peifer;2
