feature;shap_value;Hugo_Symbol;title;status;description;description_clean;topic
KMT2D_SNP;0.0526564338982957;KMT2D;"LYSINE-SPECIFIC METHYLTRANSFERASE 2D; KMT2D";live;"The SET domain is a motif characteristic of proteins such as human ALL1 (<a href=""http://omim.org/entry/159555"">159555</a>) and Drosophila 'trithorax' (trx) and is found at the C terminus of the 2 proteins. Using the ALL1 SET domain as a probe, Prasad et al. (1997) cloned a novel gene, KMT2D, which they designated ALR (ALL1-related gene). The gene encodes a 5,262-amino acid protein containing a SET domain, 5 PHD fingers, potential zinc fingers, and a long run of glutamines interrupted by hydrophobic residues (mostly leucine). They also detected an alternatively spliced form encoding 4,957 amino acids and lacking an N-terminal zinc finger and PHD finger. Analysis of ALR expression showed that its approximately 18-kb transcript is expressed, like ALL1, in most adult tissues, including a variety of hematopoietic cells, but not in liver. Whole-mount in situ hybridization of early mouse embryos indicated expression of a similar mouse gene in multiple tissues. Based on similarities in structure and expression pattern, Prasad et al. (1997) concluded that ALR is likely to play a role similar to those of ALL1 and trx.";set domain motif characteristic proteins human entry drosophila trithorax trx found c terminus proteins using set domain probe prasad cloned novel gene kmt designated alr related gene gene encodes amino acid protein containing set domain phd fingers potential zinc fingers long run glutamines interrupted hydrophobic residues mostly leucine also detected alternatively spliced form encoding amino acids lacking n terminal zinc finger phd finger analysis alr expression showed approximately kb transcript expressed like adult tissues including variety hematopoietic cells liver whole mount situ hybridization early mouse embryos indicated expression similar mouse gene multiple tissues based similarities structure expression pattern prasad concluded alr likely play role similar trx;1
APC_SNP;0.0441979937369856;APC;"APC REGULATOR OF WNT SIGNALING PATHWAY; APC";live;"The APC gene encodes a multidomain protein that plays a major role in tumor suppression by antagonizing the WNT (see WNT1; <a href=""http://omim.org/entry/164820"">164820</a>) signaling pathway. Inappropriate activation of this pathway through loss of APC function contributes to cancer progression, as in familial adenomatous polyposis (FAP; <a href=""http://omim.org/entry/175100"">175100</a>). APC also has a role in cell migration, adhesion, chromosome segregation, spindle assembly, apoptosis, and neuronal differentiation (Hanson and Miller, 2005).

The APC protein is an integral part of the beta-catenin (CTNNB1; <a href=""http://omim.org/entry/116806"">116806</a>) signaling pathway.";apc gene encodes multidomain protein plays major role tumor suppression antagonizing wnt see wnt entry signaling pathway inappropriate activation pathway loss apc function contributes cancer progression familial adenomatous polyposis fap entry apc also role cell migration adhesion chromosome segregation spindle assembly apoptosis neuronal differentiation hanson miller apc protein integral part beta catenin ctnnb entry signaling pathway;5
ATM_SNP;0.0297367299179109;ATM;"ATM SERINE/THREONINE KINASE; ATM";live;"The ATM protein is a member of the phosphatidylinositol 3-kinase (see <a href=""http://omim.org/entry/601232"">601232</a>) family of proteins that respond to DNA damage by phosphorylating key substrates involved in DNA repair and/or cell cycle control.";atm protein member phosphatidylinositol kinase see entry family proteins respond dna damage phosphorylating key substrates involved dna repair cell cycle control;-1
MGA_SNP;0.0265132918675104;MGA;"MAX DIMERIZATION PROTEIN MGA; MGA";live;"MGA is a transcriptional repressor or activator depending upon the presence of its binding partner, MAX (<a href=""http://omim.org/entry/154950"">154950</a>) (Hurlin et al., 1999).";mga transcriptional repressor activator depending upon presence binding partner max entry hurlin;1
STK11_SNP;0.0138276448446768;STK11;"SERINE/THREONINE PROTEIN KINASE 11; STK11";live;STK11 is a serine/threonine kinase that regulates energy metabolism and cell polarity (Xu et al., 2013).;stk serine threonine kinase regulates energy metabolism cell polarity xu;2
FGFR3_SNP;0.0122215134226487;FGFR3;"FIBROBLAST GROWTH FACTOR RECEPTOR 3; FGFR3";live;"Fibroblast growth factors (FGFs; see <a href=""http://omim.org/entry/131220"">131220</a>) are a family of polypeptide growth factors involved in a variety of activities, including mitogenesis, angiogenesis, and wound healing. FGF receptors, such as FGFR3, contain an extracellular domain with either 2 or 3 immunoglobulin (Ig)-like domains, a transmembrane domain, and a cytoplasmic tyrosine kinase domain (summary by Keegan et al., 1991).";fibroblast growth factors fgfs see entry family polypeptide growth factors involved variety activities including mitogenesis angiogenesis wound healing fgf receptors fgfr contain extracellular domain either immunoglobulin ig like domains transmembrane domain cytoplasmic tyrosine kinase domain summary keegan;0
CREBBP_SNP;0.012121065724087;CREBBP;"CREB-BINDING PROTEIN; CREBBP";live;"When cellular levels of cAMP increase, a cascade of events leads to the induction of genes that contain cis-regulatory elements called cAMP-response elements (CREs). Elevated cAMP levels cause stimulation and nuclear translocation of protein kinase A (PKA; see <a href=""http://omim.org/entry/176911"">176911</a>), which activates the transcription factor CREB (CRE-binding protein; see <a href=""http://omim.org/entry/123810"">123810</a>) by phosphorylating it at a single residue, serine-133 (Gonzalez and Montminy, 1989).

Chrivia et al. (1993) reported the discovery of a nuclear transcriptional coactivator protein, CREB-binding protein (CBP), that binds specifically to the PKA-phosphorylated form of the CREB protein. CBP is a large protein with a molecular mass of about 250 kD which contains a bromodomain, i.e., a conserved structural unit important for protein-protein interactions. In Drosophila and yeast, this domain is found in coactivator proteins involved in signal-dependent, but not basal, transcription (Nordheim, 1994).

To isolate the gene responsible for Rubinstein-Taybi syndrome (RSTS1; <a href=""http://omim.org/entry/180849"">180849</a>), which is associated with breakpoints in and microdeletions of chromosome 16p13.3, Petrij et al. (1995) used FISH to situate all RSTS breakpoints in an area of 150 kb, thus defining a candidate region. Complementary DNAs from this area showed very high sequence homology with mouse CBP. Further studies indicated that the human CBP gene spans at least the 150-kb genomic area containing the RSTS breakpoints. Giles et al. (1997) reported the cloning and sequencing of human CREBBP, which encodes a deduced 2,442-amino acid protein with a molecular mass of 265 kD with 95% homology to the mouse protein.";cellular levels camp increase cascade events leads induction genes contain cis regulatory elements called camp response elements cres elevated camp levels cause stimulation nuclear translocation protein kinase pka see entry activates transcription factor creb cre binding protein see entry phosphorylating single residue serine gonzalez montminy chrivia reported discovery nuclear transcriptional coactivator protein creb binding protein cbp binds specifically pka phosphorylated form creb protein cbp large protein molecular mass kd contains bromodomain e conserved structural unit important protein protein interactions drosophila yeast domain found coactivator proteins involved signal dependent basal transcription nordheim isolate gene responsible rubinstein taybi syndrome rsts entry associated breakpoints microdeletions chromosome p petrij used fish situate rsts breakpoints area kb thus defining candidate region complementary dnas area showed high sequence homology mouse cbp studies indicated human cbp gene spans least kb genomic area containing rsts breakpoints giles reported cloning sequencing human crebbp encodes deduced amino acid protein molecular mass kd homology mouse protein;1
FBXW7_SNP;0.0117222648964875;FBXW7;"F-BOX AND WD40 DOMAIN PROTEIN 7; FBXW7";live;"Archipelago is an F-box protein with 7 tandem WD (tryptophan-aspartic acid) repeats. It binds directly to cyclin E (<a href=""http://omim.org/entry/123837"">123837</a>) and is thought to target it for ubiquitin-mediated degradation (Moberg et al., 2001).";archipelago f box protein tandem wd tryptophan aspartic acid repeats binds directly cyclin e entry thought target ubiquitin mediated degradation moberg;5
CDH1_SNP;0.0080919073379194;CDH1;"CADHERIN 1; CDH1";live;The CDH1 gene encodes E-cadherin, a calcium ion-dependent cell adhesion molecule that functions in the establishment and maintenance of epithelial cell morphology during embryogenesis and adulthood (summary by Riethmacher et al., 1995).;cdh gene encodes e cadherin calcium ion dependent cell adhesion molecule functions establishment maintenance epithelial cell morphology embryogenesis adulthood summary riethmacher;6
NF2_DEL;0.0080333202794884;NF2;"NEUROFIBROMIN 2; NF2";live;Cell-cell contact between normal cultured diploid cells results in inhibition of proliferation despite the unlimited availability of nutrients and growth-promoting factors. A similar phenomenon occurs in vivo in all adult solid tissues. NF2 is a critical regulator of contact-dependent inhibition of proliferation and functions at the interface between cell-cell adhesion, transmembrane signaling, and the actin cytoskeleton (Curto and McClatchey, 2008).;cell cell contact normal cultured diploid cells results inhibition proliferation despite unlimited availability nutrients growth promoting factors similar phenomenon occurs vivo adult solid tissues nf critical regulator contact dependent inhibition proliferation functions interface cell cell adhesion transmembrane signaling actin cytoskeleton curto mcclatchey;6
