feature;shap_value;Hugo_Symbol;title;status;description;description_clean;topic
KRAS_SNP;0.3715713746802272;KRAS;"KRAS PROTOONCOGENE, GTPase; KRAS";live;"The KRAS gene encodes the human cellular homolog of a transforming gene isolated from the Kirsten rat sarcoma virus. The RAS proteins are GDP/GTP-binding proteins that act as intracellular signal transducers. The most well-studied members of the RAS (derived from 'RAt Sarcoma' virus) gene family include KRAS, HRAS (<a href=""http://omim.org/entry/190020"">190020</a>), and NRAS (<a href=""http://omim.org/entry/164790"">164790</a>). These genes encode immunologically related proteins with a molecular mass of 21 kD and are homologs of rodent sarcoma virus genes that have transforming abilities. While these wildtype cellular proteins in humans play a vital role in normal tissue signaling, including proliferation, differentiation, and senescence, mutated genes are potent oncogenes that play a role in many human cancers (Weinberg, 1982; Kranenburg, 2005).";kras gene encodes human cellular homolog transforming gene isolated kirsten rat sarcoma virus ras proteins gdp gtp binding proteins act intracellular signal transducers well studied members ras derived rat sarcoma virus gene family include kras hras entry nras entry genes encode immunologically related proteins molecular mass kd homologs rodent sarcoma virus genes transforming abilities wildtype cellular proteins humans play vital role normal tissue signaling including proliferation differentiation senescence mutated genes potent oncogenes play role many human cancers weinberg kranenburg;-1
SMAD4_SNP;0.0507094990516864;SMAD4;"SMAD FAMILY MEMBER 4; SMAD4";live;"The SMAD4 gene encodes a protein involved in signal transduction of the transforming growth factor-beta (see, e.g., TGFB1, <a href=""http://omim.org/entry/190180"">190180</a>) superfamily and bone morphogenic proteins (see, e.g., BMP1, <a href=""http://omim.org/entry/112264"">112264</a>) by mediating transcriptional activation of target genes. SMAD4 is the common SMAD protein required for most transcriptional responses to TGFB and BMP signaling (summary by Shioda et al., 1998 and Davis et al., 2008).";smad gene encodes protein involved signal transduction transforming growth factor beta see e g tgfb entry superfamily bone morphogenic proteins see e g bmp entry mediating transcriptional activation target genes smad common smad protein required transcriptional responses tgfb bmp signaling summary shioda davis;0
ERBB2_SNP;0.0334875651522978;ERBB2;"ERB-B2 RECEPTOR TYROSINE KINASE 2; ERBB2";live;"The oncogene originally called NEU was derived from rat neuro/glioblastoma cell lines (Yang-Feng et al., 1985). It encodes a tumor antigen, p185, which is serologically related to EGFR, the epidermal growth factor receptor (<a href=""http://omim.org/entry/131550"">131550</a>).

Coussens et al. (1985) identified a potential cell surface receptor of the tyrosine kinase gene family and characterized it by cloning the gene. Its primary sequence is very similar to that of the human epidermal growth factor receptor. Because of the seemingly close relationship to the human EGF receptor, the authors called the gene HER2.

Semba et al. (1985) identified an ERBB-related gene, ERBB2, that is distinct from the ERBB gene (<a href=""http://omim.org/entry/131550"">131550</a>), called ERBB1 by these authors.

Di Fiore et al. (1987) indicated that NEU and HER2 are both the same as ERBB2.

Akiyama et al. (1986) raised antibodies against a synthetic peptide corresponding to 14 amino acid residues at the COOH terminus of a protein deduced from the ERBB2 nucleotide sequence. With these antibodies, they precipitated the ERBB2 gene product from adenocarcinoma cells and demonstrated it to be a 185-kD glycoprotein with tyrosine kinase activity.";oncogene originally called neu derived rat neuro glioblastoma cell lines yang feng encodes tumor antigen p serologically related egfr epidermal growth factor receptor entry coussens identified potential cell surface receptor tyrosine kinase gene family characterized cloning gene primary sequence similar human epidermal growth factor receptor seemingly close relationship human egf receptor authors called gene semba identified erbb related gene erbb distinct erbb gene entry called erbb authors di fiore indicated neu erbb akiyama raised antibodies synthetic peptide corresponding amino acid residues cooh terminus protein deduced erbb nucleotide sequence antibodies precipitated erbb gene product adenocarcinoma cells demonstrated kd glycoprotein tyrosine kinase activity;3
ERBB3_SNP;0.0275184064909419;ERBB3;"ERB-B2 RECEPTOR TYROSINE KINASE 3; ERBB3";live;The ERBB3 gene is a member of the epidermal growth factor receptor tyrosine kinase family (summary by Braunstein et al., 2016).;erbb gene member epidermal growth factor receptor tyrosine kinase family summary braunstein;3
APC_INS;0.024995630918137;APC;"APC REGULATOR OF WNT SIGNALING PATHWAY; APC";live;"The APC gene encodes a multidomain protein that plays a major role in tumor suppression by antagonizing the WNT (see WNT1; <a href=""http://omim.org/entry/164820"">164820</a>) signaling pathway. Inappropriate activation of this pathway through loss of APC function contributes to cancer progression, as in familial adenomatous polyposis (FAP; <a href=""http://omim.org/entry/175100"">175100</a>). APC also has a role in cell migration, adhesion, chromosome segregation, spindle assembly, apoptosis, and neuronal differentiation (Hanson and Miller, 2005).

The APC protein is an integral part of the beta-catenin (CTNNB1; <a href=""http://omim.org/entry/116806"">116806</a>) signaling pathway.";apc gene encodes multidomain protein plays major role tumor suppression antagonizing wnt see wnt entry signaling pathway inappropriate activation pathway loss apc function contributes cancer progression familial adenomatous polyposis fap entry apc also role cell migration adhesion chromosome segregation spindle assembly apoptosis neuronal differentiation hanson miller apc protein integral part beta catenin ctnnb entry signaling pathway;4
EIF1AX_DEL;0.0182786122406107;EIF1AX;"EUKARYOTIC TRANSLATION INITIATION FACTOR 1A, X-LINKED; EIF1AX";live;The small eukaryotic initiation factor eIF4C is implicated in the translation initiation pathway, where it enhances ribosome dissociation into subunits and stabilizes the binding of the initiator Met-tRNA to 40S ribosomal subunits (summary by Dever et al., 1994).;small eukaryotic initiation factor eif c implicated translation initiation pathway enhances ribosome dissociation subunits stabilizes binding initiator met trna ribosomal subunits summary dever;1
MAP2K1_SNP;0.0154892573856948;MAP2K1;"MITOGEN-ACTIVATED PROTEIN KINASE KINASE 1; MAP2K1";live;"Mitogen-activated protein (MAP) kinases, also known as extracellular signal-regulated kinases (ERKs) (see ERK2, or MAPK1; <a href=""http://omim.org/entry/176948"">176948</a>), are thought to act as an integration point for multiple biochemical signals because they are activated by a wide variety of extracellular signals, are rapidly phosphorylated on threonine and tyrosine residues, and are highly conserved in evolution (Crews et al., 1992). A critical protein kinase lies upstream of MAP kinase and stimulates the enzymatic activity of MAP kinase. Crews et al. (1992) cloned a mouse cDNA, denoted Mek1 (for Map/Erk kinase-1) by them, that encodes a member of this protein kinase family. The 393-amino acid, 43.5-kD protein is most closely related in size and sequence to the product encoded by the byr1 gene of S. pombe. The Mek1 gene was highly expressed in murine brain.

Seger et al. (1992) cloned a cDNA encoding the human homolog of Mek1, symbolized MKK1 by them, from a human T-cell cDNA library. The predicted protein has a calculated molecular mass of 43 kD. They also isolated a related cDNA, called MKK1b, that appears to be an alternatively spliced form of MKK1. Seger et al. (1992) detected a 2.6-kb MKK1 transcript by Northern blot analysis in all tissues examined.

Zheng and Guan (1993) also cloned a human cDNA corresponding to MEK1. They noted that the 393-amino acid protein shares 99% amino acid identity with murine Mek1 and 80% homology with human MEK2 (<a href=""http://omim.org/entry/601263"">601263</a>). The authors characterized biochemically the human MEK1 and MEK2 gene products. The gene is also symbolized MAP2K1, or PRKMK1.";mitogen activated protein map kinases also known extracellular signal regulated kinases erks see erk mapk entry thought act integration point multiple biochemical signals activated wide variety extracellular signals rapidly phosphorylated threonine tyrosine residues highly conserved evolution crews critical protein kinase lies upstream map kinase stimulates enzymatic activity map kinase crews cloned mouse cdna denoted mek map erk kinase encodes member protein kinase family amino acid kd protein closely related size sequence product encoded byr gene pombe mek gene highly expressed murine brain seger cloned cdna encoding human homolog mek symbolized mkk human cell cdna library predicted protein calculated molecular mass kd also isolated related cdna called mkk b appears alternatively spliced form mkk seger detected kb mkk transcript northern blot analysis tissues examined zheng guan also cloned human cdna corresponding mek noted amino acid protein shares amino acid identity murine mek homology human mek entry authors characterized biochemically human mek mek gene products gene also symbolized map k prkmk;0
TP53_SNP;0.0154312170850464;TP53;"TUMOR PROTEIN p53; TP53";live;"The transcription factor p53 responds to diverse cellular stresses to regulate target genes that induce cell cycle arrest, apoptosis, senescence, DNA repair, or changes in metabolism. In addition, p53 appears to induce apoptosis through nontranscriptional cytoplasmic processes. In unstressed cells, p53 is kept inactive essentially through the actions of the ubiquitin ligase MDM2 (<a href=""http://omim.org/entry/164785"">164785</a>), which inhibits p53 transcriptional activity and ubiquitinates p53 to promote its degradation. Numerous posttranslational modifications modulate p53 activity, most notably phosphorylation and acetylation. Several less abundant p53 isoforms also modulate p53 activity. Activity of p53 is ubiquitously lost in human cancer either by mutation of the p53 gene itself or by loss of cell signaling upstream or downstream of p53 (Toledo and Wahl, 2006; Bourdon, 2007; Vousden and Lane, 2007).";transcription factor p responds diverse cellular stresses regulate target genes induce cell cycle arrest apoptosis senescence dna repair changes metabolism addition p appears induce apoptosis nontranscriptional cytoplasmic processes unstressed cells p kept inactive essentially actions ubiquitin ligase mdm entry inhibits p transcriptional activity ubiquitinates p promote degradation numerous posttranslational modifications modulate p activity notably phosphorylation acetylation several less abundant p isoforms also modulate p activity activity p ubiquitously lost human cancer either mutation p gene loss cell signaling upstream downstream p toledo wahl bourdon vousden lane;4
PIK3CA_SNP;0.0144120122336333;PIK3CA;"PHOSPHATIDYLINOSITOL 3-KINASE, CATALYTIC, ALPHA; PIK3CA";live;"Bovine phosphatidylinositol 3-kinase ({EC 2.7.1.137}) is composed of 85-kD (<a href=""http://omim.org/entry/171833"">171833</a>) and 110-kD subunits. The 85-kD subunit lacks PI3-kinase activity and acts as an adaptor, coupling the 110-kD subunit (p110) to activated protein tyrosine kinases. Hiles et al. (1992) found that the bovine cDNA for p110 predicts a 1,068-amino acid protein related to a protein which in S. cerevisiae is involved in the sorting of proteins to the vacuole.

Volinia et al. (1994) cloned the cDNA for the human p110 subunit (PIK3CA) and found that it encodes a protein 99% identical to the bovine p110 enzyme.

See also PIK3CG (<a href=""http://omim.org/entry/601232"">601232</a>) and PIK3CD (<a href=""http://omim.org/entry/602839"">602839</a>), the genes encoding the p110-gamma and p110-delta polypeptides, respectively.";bovine phosphatidylinositol kinase ec composed kd entry kd subunits kd subunit lacks pi kinase activity acts adaptor coupling kd subunit p activated protein tyrosine kinases hiles found bovine cdna p predicts amino acid protein related protein cerevisiae involved sorting proteins vacuole volinia cloned cdna human p subunit pik ca found encodes protein identical bovine p enzyme see also pik cg entry pik cd entry genes encoding p gamma p delta polypeptides respectively;-1
BRAF_SNP;0.0092140341905173;BRAF;"B-RAF PROTOONCOGENE, SERINE/THREONINE KINASE; BRAF";live;"Using an oligomer unique to the BRAF kinase domain, Sithanandam et al. (1990) cloned full-length BRAF from a testis cDNA library. The deduced 651-amino acid protein has a calculated molecular mass of 72.5 kD. It contains all 3 conserved regions of RAF protein kinases: a putative zinc finger region, a serine/threonine-rich region, and a C-terminal kinase domain, which includes a putative ATP-binding site and a catalytic lysine. In addition, the N terminus of BRAF is serine-rich, and it has a consensus CDC2 (CDK1; <a href=""http://omim.org/entry/116940"">116940</a>) phosphorylation motif. Northern blot analysis detected transcripts of 10 and 13 kb in cerebrum, fetal brain, and placenta and transcripts of 2.6 and 4.5 kb in testis. Testis also showed lower expression of the 10- and 13-kb transcripts.

Eychene et al. (1992) stated that the BRAF gene is the human homolog of the avian c-Rmil protooncogene encoding a 94-kD serine/threonine kinase detected in avian cells. This protein contains amino-terminal sequences not found in other proteins of the mil/raf gene family. These sequences are encoded by 3 exons in the avian genome. Eychene et al. (1992) reported that these 3 exons are conserved in the human BRAF gene and that they encode an amino acid sequence similar to that of the avian gene.";using oligomer unique braf kinase domain sithanandam cloned full length braf testis cdna library deduced amino acid protein calculated molecular mass kd contains conserved regions raf protein kinases putative zinc finger region serine threonine rich region c terminal kinase domain includes putative atp binding site catalytic lysine addition n terminus braf serine rich consensus cdc cdk entry phosphorylation motif northern blot analysis detected transcripts kb cerebrum fetal brain placenta transcripts kb testis testis also showed lower expression kb transcripts eychene stated braf gene human homolog avian c rmil protooncogene encoding kd serine threonine kinase detected avian cells protein contains amino terminal sequences found proteins mil raf gene family sequences encoded exons avian genome eychene reported exons conserved human braf gene encode amino acid sequence similar avian gene;0
